StudentID,StudyHoursPerWeek,Absences,GPA
SV001,30,1,3.9
SV002,28,2,3.8
SV003,32,,3.95
SV004,27,1,3.7
SV005,35,0,3.92
SV006,29,2,3.85
SV007,,3,3.65
SV008,31,1,3.88
SV009,33,0,3.91
SV010,25,2,3.6
SV011,20,5,3.2
SV012,22,4,3.3
SV013,18,,3.1
SV014,21,3,3.4
SV015,19,5,3.15
SV016,23,4,3.35
SV017,17,7,3.0
SV018,24,3,3.45
SV019,20,6,3.05
SV020,22,5,3.25
SV021,12,10,2.3
SV022,10,12,2.1
SV023,14,9,2.5
SV024,11,11,2.2
SV025,13,10,2.4
SV026,9,13,2.0
SV027,15,8,2.6
SV028,10,14,
SV029,12,11,2.35
SV030,14,9,2.55
SV031,5,18,1.2
SV032,3,20,1.0
SV033,4,19,1.1
SV034,6,17,1.4
SV035,2,22,0.8
SV036,7,16,1.5
SV037,3,21,0.9
SV038,5,18,1.3
SV039,4,20,1.05
SV040,6,15,1.6
SV041,34,1,3.93
SV042,26,4,3.5
SV043,16,7,2.8
SV044,8,15,1.7
SV045,30,0,3.87
SV046,19,6,3.0
SV047,11,12,2.15
SV048,4,19,1.15
SV049,23,3,3.4
SV050,7,16,1.55
SV002,28,2,3.8
SV017,17,7,3.0
SV035,2,22,0.8
SV053,25,2,
SV054,150,3,3.5
SV055,20,-5,3.2
